,0,1,2,3,4,5,6,7,8,9
gage_1_20160131,1530.1,1530.1,1530.1,1530.1,1530.1,1530.1,1530.1,1530.1,1530.1,1530.1
gage_1_20160229,1855.3,1855.3,1855.3,1855.3,1855.3,1855.3,1855.3,1855.3,1855.3,1855.3
gage_1_20160331,1907.1,1907.1,1907.1,1907.1,1907.1,1907.1,1907.1,1907.1,1907.1,1907.1
gage_1_20160430,1747.7,1747.7,1747.7,1747.7,1747.7,1747.7,1747.7,1747.7,1747.7,1747.7
gage_1_20160531,1456.9,1456.9,1456.9,1456.9,1456.9,1456.9,1456.9,1456.9,1456.9,1456.9
gage_1_20160630,1011.6,1011.6,1011.6,1011.6,1011.6,1011.6,1011.6,1011.6,1011.6,1011.6
gage_1_20160731,667.96,667.96,667.96,667.96,667.96,667.96,667.96,667.96,667.96,667.96
gage_1_20160831,389.33,389.33,389.33,389.33,389.33,389.33,389.33,389.33,389.33,389.33
gage_1_20160930,255.19,255.19,255.19,255.19,255.19,255.19,255.19,255.19,255.19,255.19
gage_1_20161031,297.89,297.89,297.89,297.89,297.89,297.89,297.89,297.89,297.89,297.89
gage_1_20161130,460.64,460.64,460.64,460.64,460.64,460.64,460.64,460.64,460.64,460.64
gage_1_20161231,887.43,887.43,887.43,887.43,887.43,887.43,887.43,887.43,887.43,887.43
headwater_20171031,-500.0,-388.8888888888889,-277.77777777777777,-166.66666666666663,-55.55555555555554,55.55555555555554,166.66666666666674,277.7777777777778,388.8888888888889,500.0
trgw_2_2_9_20160131,34.801,34.801,34.801,34.801,34.801,34.801,34.801,34.801,34.801,34.801
trgw_2_2_9_20160229,34.929,34.929,34.929,34.929,34.929,34.929,34.929,34.929,34.929,34.929
trgw_2_2_9_20160331,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97
trgw_2_2_9_20160430,34.939,34.939,34.939,34.939,34.939,34.939,34.939,34.939,34.939,34.939
trgw_2_2_9_20160531,34.859,34.859,34.859,34.859,34.859,34.859,34.859,34.859,34.859,34.859
trgw_2_2_9_20160630,34.734,34.734,34.734,34.734,34.734,34.734,34.734,34.734,34.734,34.734
trgw_2_2_9_20160731,34.597,34.597,34.597,34.597,34.597,34.597,34.597,34.597,34.597,34.597
trgw_2_2_9_20160831,34.486,34.486,34.486,34.486,34.486,34.486,34.486,34.486,34.486,34.486
trgw_2_2_9_20160930,34.416,34.416,34.416,34.416,34.416,34.416,34.416,34.416,34.416,34.416
trgw_2_2_9_20161031,34.401,34.401,34.401,34.401,34.401,34.401,34.401,34.401,34.401,34.401
trgw_2_2_9_20161130,34.416,34.416,34.416,34.416,34.416,34.416,34.416,34.416,34.416,34.416
trgw_2_2_9_20161231,34.547,34.547,34.547,34.547,34.547,34.547,34.547,34.547,34.547,34.547
trgw_2_33_7_20160131,34.252,34.252,34.252,34.252,34.252,34.252,34.252,34.252,34.252,34.252
trgw_2_33_7_20160229,34.397,34.397,34.397,34.397,34.397,34.397,34.397,34.397,34.397,34.397
trgw_2_33_7_20160331,34.405,34.405,34.405,34.405,34.405,34.405,34.405,34.405,34.405,34.405
trgw_2_33_7_20160430,34.334,34.334,34.334,34.334,34.334,34.334,34.334,34.334,34.334,34.334
trgw_2_33_7_20160531,34.212,34.212,34.212,34.212,34.212,34.212,34.212,34.212,34.212,34.212
trgw_2_33_7_20160630,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04
trgw_2_33_7_20160731,33.857,33.857,33.857,33.857,33.857,33.857,33.857,33.857,33.857,33.857
trgw_2_33_7_20160831,33.666,33.666,33.666,33.666,33.666,33.666,33.666,33.666,33.666,33.666
trgw_2_33_7_20160930,33.591,33.591,33.591,33.591,33.591,33.591,33.591,33.591,33.591,33.591
trgw_2_33_7_20161031,33.605,33.605,33.605,33.605,33.605,33.605,33.605,33.605,33.605,33.605
trgw_2_33_7_20161130,33.713,33.713,33.713,33.713,33.713,33.713,33.713,33.713,33.713,33.713
trgw_2_33_7_20161231,33.938,33.938,33.938,33.938,33.938,33.938,33.938,33.938,33.938,33.938
