,0,1,2,3,4,5,6,7,8,9
gage_1_20160131,0.0043570137028,0.0043570137028,0.0043570137028,0.0043570137028,0.0043570137028,0.0043570137028,0.0043570137028,0.0043570137028,0.0043570137028,0.0043570137028
gage_1_20160229,0.0035933092582,0.0035933092582,0.0035933092582,0.0035933092582,0.0035933092582,0.0035933092582,0.0035933092582,0.0035933092582,0.0035933092582,0.0035933092582
gage_1_20160331,0.0034957090172,0.0034957090172,0.0034957090172,0.0034957090172,0.0034957090172,0.0034957090172,0.0034957090172,0.0034957090172,0.0034957090172,0.0034957090172
gage_1_20160430,0.0038145372013,0.0038145372013,0.0038145372013,0.0038145372013,0.0038145372013,0.0038145372013,0.0038145372013,0.0038145372013,0.0038145372013,0.0038145372013
gage_1_20160531,0.004575926053,0.004575926053,0.004575926053,0.004575926053,0.004575926053,0.004575926053,0.004575926053,0.004575926053,0.004575926053,0.004575926053
gage_1_20160630,0.0065902201134,0.0065902201134,0.0065902201134,0.0065902201134,0.0065902201134,0.0065902201134,0.0065902201134,0.0065902201134,0.0065902201134,0.0065902201134
gage_1_20160731,0.0099806375631,0.0099806375631,0.0099806375631,0.0099806375631,0.0099806375631,0.0099806375631,0.0099806375631,0.0099806375631,0.0099806375631,0.0099806375631
gage_1_20160831,0.017123434276,0.017123434276,0.017123434276,0.017123434276,0.017123434276,0.017123434276,0.017123434276,0.017123434276,0.017123434276,0.017123434276
gage_1_20160930,0.026124325666,0.026124325666,0.026124325666,0.026124325666,0.026124325666,0.026124325666,0.026124325666,0.026124325666,0.026124325666,0.026124325666
gage_1_20161031,0.022379625589,0.022379625589,0.022379625589,0.022379625589,0.022379625589,0.022379625589,0.022379625589,0.022379625589,0.022379625589,0.022379625589
gage_1_20161130,0.014472617807,0.014472617807,0.014472617807,0.014472617807,0.014472617807,0.014472617807,0.014472617807,0.014472617807,0.014472617807,0.014472617807
gage_1_20161231,0.007512329611,0.007512329611,0.007512329611,0.007512329611,0.007512329611,0.007512329611,0.007512329611,0.007512329611,0.007512329611,0.007512329611
headwater_20171031,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
trgw_2_2_9_20160131,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160229,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160331,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160430,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160531,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160630,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160731,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160831,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20160930,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20161031,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20161130,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_2_9_20161231,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160131,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160229,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160331,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160430,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160531,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160630,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160731,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160831,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20160930,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20161031,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20161130,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
trgw_2_33_7_20161231,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
