obsnme,obsval,weight,obgnme,cycle,org_obgnme
head_00_000_000,35.04411,0.0,obgnme,-1,
head_00_000_001,35.03569,0.0,obgnme,-1,
head_00_000_002,35.01919,0.0,obgnme,-1,
head_00_000_003,34.99519,0.0,obgnme,-1,
head_00_000_004,34.9645,0.0,obgnme,-1,
head_00_000_005,34.92811,0.0,obgnme,-1,
head_00_000_006,34.88711,0.0,obgnme,-1,
head_00_000_007,34.84265,0.0,obgnme,-1,
head_00_000_008,34.795790000000004,0.0,obgnme,-1,
head_00_000_009,34.74742,0.0,obgnme,-1,
head_00_000_010,34.69805,0.0,obgnme,-1,
head_00_000_011,34.64765,0.0,obgnme,-1,
head_00_000_012,34.59578,0.0,obgnme,-1,
head_00_000_013,34.54198,0.0,obgnme,-1,
head_00_000_014,34.485479999999995,0.0,obgnme,-1,
head_00_000_015,34.36397,0.0,obgnme,-1,
head_00_000_016,34.43492,0.0,obgnme,-1,
head_00_000_017,34.44142,0.0,obgnme,-1,
head_00_000_018,34.44549,0.0,obgnme,-1,
head_00_000_019,34.447520000000004,0.0,obgnme,-1,
head_00_001_000,35.04548,0.0,obgnme,-1,
head_00_001_001,35.03689,0.0,obgnme,-1,
head_00_001_002,35.02004,0.0,obgnme,-1,
head_00_001_003,34.9955,0.0,obgnme,-1,
head_00_001_004,34.96413,0.0,obgnme,-1,
head_00_001_005,34.92694,0.0,obgnme,-1,
head_00_001_006,34.885090000000005,0.0,obgnme,-1,
head_00_001_007,34.83981,0.0,obgnme,-1,
head_00_001_008,34.79222,0.0,obgnme,-1,
head_00_001_009,34.743320000000004,0.0,obgnme,-1,
head_00_001_010,34.69372,0.0,obgnme,-1,
head_00_001_011,34.64333,0.0,obgnme,-1,
head_00_001_012,34.5915,0.0,obgnme,-1,
head_00_001_013,34.53773,0.0,obgnme,-1,
head_00_001_014,34.48123,0.0,obgnme,-1,
head_00_001_015,34.35877,0.0,obgnme,-1,
head_00_001_016,34.43065,0.0,obgnme,-1,
head_00_001_017,34.43723,0.0,obgnme,-1,
head_00_001_018,34.44133,0.0,obgnme,-1,
head_00_001_019,34.44338,0.0,obgnme,-1,
head_00_002_000,35.048320000000004,0.0,obgnme,-1,
head_00_002_001,35.039390000000004,0.0,obgnme,-1,
head_00_002_002,35.02185,0.0,obgnme,-1,
head_00_002_003,34.99626,0.0,obgnme,-1,
head_00_002_004,34.96349,0.0,obgnme,-1,
head_00_002_005,34.92468,0.0,obgnme,-1,
head_00_002_006,34.88113,0.0,obgnme,-1,
head_00_002_007,34.83421,0.0,obgnme,-1,
head_00_002_008,34.78519,0.0,obgnme,-1,
head_00_002_009,34.73522,1.0,obgnme,-1,trgw_0_2_9
head_00_002_010,34.68512,0.0,obgnme,-1,
head_00_002_011,34.63469,0.0,obgnme,-1,
head_00_002_012,34.58285,0.0,obgnme,-1,
head_00_002_013,34.52912,0.0,obgnme,-1,
head_00_002_014,34.4727,0.0,obgnme,-1,
head_00_002_015,34.35006,1.0,obgnme,-1,trgw_0_2_15
head_00_002_016,34.42221,0.0,obgnme,-1,
head_00_002_017,34.42886,0.0,obgnme,-1,
