pest_file,model_file,cycle
npf_k33_0.dat.tpl,npf_k33_0.dat,-1.0
npf_k33_1.dat.tpl,npf_k33_1.dat,-1.0
npf_k33_2.dat.tpl,npf_k33_2.dat,-1.0
npf_k_0.dat.tpl,npf_k_0.dat,-1.0
npf_k_1.dat.tpl,npf_k_1.dat,-1.0
npf_k_2.dat.tpl,npf_k_2.dat,-1.0
sto_ss_0.dat.tpl,sto_ss_0.dat,-1.0
sto_ss_1.dat.tpl,sto_ss_1.dat,-1.0
sto_ss_2.dat.tpl,sto_ss_2.dat,-1.0
sto_sy_0.dat.tpl,sto_sy_0.dat,-1.0
sto_sy_1.dat.tpl,sto_sy_1.dat,-1.0
sto_sy_2.dat.tpl,sto_sy_2.dat,-1.0
./freyberg6.tdis.tpl,./freyberg6.tdis,-1.0
./heads_0.dat_in.tpl,./heads_0.dat_in,-1.0
./heads_1.dat_in.tpl,./heads_1.dat_in,-1.0
./heads_2.dat_in.tpl,./heads_2.dat_in,-1.0
./freyberg6.wel_0.tpl,./freyberg6.wel,0.0
./freyberg6.wel_1.tpl,./freyberg6.wel,1.0
./freyberg6.wel_2.tpl,./freyberg6.wel,2.0
./freyberg6.wel_3.tpl,./freyberg6.wel,3.0
./freyberg6.wel_4.tpl,./freyberg6.wel,4.0
./freyberg6.wel_5.tpl,./freyberg6.wel,5.0
./freyberg6.wel_6.tpl,./freyberg6.wel,6.0
./freyberg6.wel_7.tpl,./freyberg6.wel,7.0
./freyberg6.wel_8.tpl,./freyberg6.wel,8.0
./freyberg6.wel_9.tpl,./freyberg6.wel,9.0
./freyberg6.wel_10.tpl,./freyberg6.wel,10.0
./freyberg6.wel_11.tpl,./freyberg6.wel,11.0
./freyberg6.wel_12.tpl,./freyberg6.wel,12.0
./freyberg6.wel_13.tpl,./freyberg6.wel,13.0
./freyberg6.wel_14.tpl,./freyberg6.wel,14.0
./freyberg6.wel_15.tpl,./freyberg6.wel,15.0
./freyberg6.wel_16.tpl,./freyberg6.wel,16.0
./freyberg6.wel_17.tpl,./freyberg6.wel,17.0
./freyberg6.wel_18.tpl,./freyberg6.wel,18.0
./freyberg6.wel_19.tpl,./freyberg6.wel,19.0
./freyberg6.wel_20.tpl,./freyberg6.wel,20.0
./freyberg6.wel_21.tpl,./freyberg6.wel,21.0
./freyberg6.wel_22.tpl,./freyberg6.wel,22.0
./freyberg6.wel_23.tpl,./freyberg6.wel,23.0
./freyberg6.wel_24.tpl,./freyberg6.wel,24.0
./freyberg6.rch_0.tpl,./freyberg6.rch,0.0
./freyberg6.rch_1.tpl,./freyberg6.rch,1.0
./freyberg6.rch_2.tpl,./freyberg6.rch,2.0
./freyberg6.rch_3.tpl,./freyberg6.rch,3.0
./freyberg6.rch_4.tpl,./freyberg6.rch,4.0
./freyberg6.rch_5.tpl,./freyberg6.rch,5.0
./freyberg6.rch_6.tpl,./freyberg6.rch,6.0
./freyberg6.rch_7.tpl,./freyberg6.rch,7.0
./freyberg6.rch_8.tpl,./freyberg6.rch,8.0
./freyberg6.rch_9.tpl,./freyberg6.rch,9.0
./freyberg6.rch_10.tpl,./freyberg6.rch,10.0
./freyberg6.rch_11.tpl,./freyberg6.rch,11.0
./freyberg6.rch_12.tpl,./freyberg6.rch,12.0
./freyberg6.rch_13.tpl,./freyberg6.rch,13.0
./freyberg6.rch_14.tpl,./freyberg6.rch,14.0
./freyberg6.rch_15.tpl,./freyberg6.rch,15.0
./freyberg6.rch_16.tpl,./freyberg6.rch,16.0
./freyberg6.rch_17.tpl,./freyberg6.rch,17.0
./freyberg6.rch_18.tpl,./freyberg6.rch,18.0
./freyberg6.rch_19.tpl,./freyberg6.rch,19.0
./freyberg6.rch_20.tpl,./freyberg6.rch,20.0
./freyberg6.rch_21.tpl,./freyberg6.rch,21.0
./freyberg6.rch_22.tpl,./freyberg6.rch,22.0
./freyberg6.rch_23.tpl,./freyberg6.rch,23.0
./freyberg6.rch_24.tpl,./freyberg6.rch,24.0
