,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
head_00_002_009,34.611,34.806,34.934,34.975,34.943,34.863,34.737,34.601,34.488,34.419,34.403,34.419,34.55,34.609,34.669,34.713,34.711,34.652,34.589,34.5,34.435,34.386,34.381,34.449,34.486
head_00_002_015,34.197,34.255,34.301,34.324,34.325,34.306,34.267,34.219,34.175,34.144,34.132,34.131,34.167,34.189,34.212,34.233,34.24,34.228,34.211,34.183,34.158,34.137,34.128,34.142,34.152
head_00_003_008,34.646,34.859,34.993,35.031,34.994,34.907,34.771,34.626,34.51,34.438,34.425,34.443,34.587,34.646,34.709,34.755,34.75,34.685,34.617,34.522,34.454,34.404,34.401,34.477,34.515
head_00_009_001,35.219,35.489,35.705,35.8,35.776,35.668,35.487,35.267,35.053,34.9,34.832,34.834,35.021,35.134,35.237,35.319,35.329,35.245,35.133,34.979,34.869,34.785,34.775,34.877,34.948
head_00_013_010,34.126,34.306,34.424,34.45,34.399,34.3,34.15,34.038,33.98,33.946,33.96,33.999,34.124,34.203,34.264,34.299,34.276,34.225,34.173,34.104,34.025,33.979,33.981,34.05,34.108
head_00_015_016,34.083,34.275,34.375,34.382,34.324,34.225,34.073,33.979,33.928,33.899,33.917,33.96,34.09,34.16,34.215,34.241,34.215,34.164,34.111,34.041,33.975,33.942,33.951,34.024,34.073
head_00_021_010,34.06,34.318,34.432,34.427,34.344,34.223,34.015,33.917,33.818,33.765,33.79,33.865,34.05,34.149,34.215,34.238,34.195,34.127,34.044,33.953,33.89,33.856,33.899,34.002,34.058
head_00_022_015,33.935,34.085,34.155,34.154,34.106,34.034,33.905,33.851,33.798,33.767,33.776,33.816,33.924,33.983,34.022,34.036,34.011,33.973,33.924,33.87,33.834,33.816,33.839,33.898,33.931
head_00_024_004,34.18,34.534,34.702,34.697,34.596,34.442,34.228,34.019,33.809,33.722,33.751,33.871,34.151,34.289,34.386,34.435,34.386,34.266,34.14,33.996,33.918,33.84,33.923,34.092,34.174
head_00_026_006,34.033,34.359,34.507,34.5,34.409,34.271,34.072,33.88,33.677,33.6,33.634,33.761,34.016,34.155,34.245,34.29,34.239,34.134,34.017,33.888,33.814,33.733,33.824,33.977,34.056
head_00_029_015,33.882,34.034,34.122,34.135,34.094,34.022,33.912,33.803,33.691,33.638,33.649,33.708,33.839,33.913,33.968,33.995,33.973,33.916,33.863,33.8,33.755,33.717,33.738,33.816,33.862
head_00_033_007,33.995,34.275,34.424,34.433,34.36,34.235,34.06,33.873,33.681,33.602,33.617,33.724,33.954,34.086,34.176,34.223,34.184,34.087,33.983,33.865,33.797,33.72,33.788,33.928,34.006
head_00_034_010,33.885,34.096,34.229,34.249,34.198,34.094,33.949,33.773,33.584,33.525,33.54,33.644,33.833,33.944,34.021,34.055,34.012,33.924,33.863,33.778,33.721,33.65,33.688,33.813,33.884
head_02_002_009,34.608,34.801,34.929,34.97,34.939,34.859,34.734,34.597,34.486,34.416,34.401,34.416,34.547,34.605,34.665,34.71,34.707,34.649,34.586,34.498,34.433,34.384,34.379,34.446,34.483
head_02_002_015,34.247,34.316,34.373,34.405,34.408,34.386,34.338,34.278,34.223,34.184,34.166,34.163,34.206,34.234,34.264,34.291,34.302,34.289,34.268,34.234,34.202,34.174,34.161,34.176,34.188
head_02_003_008,34.641,34.85,34.983,35.023,34.987,34.901,34.767,34.623,34.507,34.435,34.421,34.439,34.58,34.64,34.703,34.749,34.744,34.681,34.614,34.52,34.452,34.401,34.397,34.471,34.51
head_02_009_001,35.215,35.488,35.704,35.798,35.772,35.662,35.48,35.26,35.046,34.894,34.827,34.83,35.02,35.132,35.235,35.316,35.326,35.24,35.128,34.974,34.864,34.78,34.771,34.875,34.946
head_02_013_010,34.12,34.307,34.422,34.443,34.389,34.288,34.136,34.028,33.974,33.941,33.958,33.997,34.124,34.202,34.261,34.295,34.269,34.218,34.167,34.097,34.017,33.973,33.978,34.049,34.106
head_02_015_016,34.074,34.26,34.359,34.368,34.311,34.214,34.064,33.973,33.923,33.894,33.912,33.953,34.079,34.15,34.204,34.231,34.205,34.157,34.105,34.036,33.969,33.937,33.945,34.015,34.065
head_02_021_010,34.058,34.314,34.427,34.423,34.341,34.221,34.013,33.916,33.817,33.764,33.789,33.863,34.047,34.146,34.212,34.235,34.192,34.125,34.043,33.952,33.889,33.854,33.897,34.0,34.055
head_02_022_015,34.013,34.227,34.328,34.329,34.261,34.157,33.967,33.895,33.817,33.77,33.781,33.84,33.992,34.082,34.139,34.159,34.123,34.072,34.0,33.923,33.87,33.844,33.876,33.959,34.008
head_02_024_004,34.176,34.529,34.696,34.691,34.59,34.437,34.224,34.015,33.806,33.719,33.749,33.869,34.147,34.285,34.382,34.431,34.382,34.262,34.136,33.993,33.915,33.837,33.921,34.089,34.171
head_02_026_006,34.028,34.352,34.499,34.493,34.404,34.266,34.069,33.877,33.674,33.598,33.631,33.758,34.011,34.15,34.24,34.285,34.235,34.131,34.014,33.886,33.811,33.73,33.821,33.973,34.052
head_02_029_015,33.898,34.063,34.159,34.173,34.128,34.05,33.931,33.813,33.691,33.634,33.647,33.711,33.853,33.933,33.992,34.021,33.997,33.936,33.879,33.81,33.761,33.72,33.744,33.828,33.877
head_02_033_007,33.977,34.252,34.397,34.405,34.334,34.212,34.04,33.857,33.666,33.591,33.605,33.713,33.938,34.07,34.158,34.204,34.164,34.07,33.969,33.853,33.786,33.707,33.778,33.915,33.992
